job,odb_exists,odb_size_bytes,sta_exists,sta_completed_successfully,sta_row_count,sta_final_line,sta_final_step,sta_final_increment,sta_final_attempt,sta_final_total_iters,sta_final_step_time_lpf,sta_final_inc_time_lpf,log_exited_with_errors,msg_exists,analysis_terminated_due_to_errors,minimum_time_increment_error,solution_diverging_note,total_increments,cutbacks,iterations,negative_eigenvalue_warnings,error_messages,warning_messages_analysis,wallclock_seconds,processors_reported,inp_exists,element_types,has_shell_section,has_static_riks,has_nlgeom_step,has_contact,has_friction,has_plastic_material,has_boundary,output_requests,result2_exists,max_rf2,max_rf2_at_x,max_rf3,max_rf3_at_x
Job-1,True,8252572,True,True,1,1     1   1     0     0     0  0.00       1.00e-36   1.000e-36,1,1,1,0,0.0,1e-36,False,True,False,False,False,1,0,1,0,0,0,28,not_available,True,S4R,True,False,False,True,True,False,True,not_available,,,,,
Job-2,True,393673564,True,False,127,1   108   2U    0     7     7             52.7       4.350e-07             R,1,108,2U,7,52.7,4.35e-07,True,True,True,True,True,108,20,447,8,2,20,927,24,True,S4R,True,True,True,True,True,True,True,"*Element Output, directions=YES; *Node Output",True,2707530.0,31.2444,22053600.0,0.0
