family_guess,result_role,signature_rows
overall_or_unknown,derived_table_or_curve_csv,22364
overall_or_unknown,elastic_buckling_or_field_figure,22363
overall_or_unknown,plastic_riks_or_postbuckling_figure,16217
separated_or_sepH,derived_table_or_curve_csv,79265
separated_or_sepH,elastic_buckling_or_field_figure,22063
separated_or_sepH,plastic_riks_or_postbuckling_figure,74668
